               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,            0.026129,            0.009365,                   0,             0.83326,             0.90868,             0.87688,             0.44167,            0.034052,           0.0082557,                   0,             0.00505,             0.00505,             0.00505
                 102,            0.024175,            0.011129,                   0,             0.78529,                   1,             0.87597,             0.44878,            0.032318,           0.0082893,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,            0.024731,            0.010198,                   0,             0.78569,                   1,             0.85825,             0.43057,            0.031491,             0.00826,                   0,            0.004951,            0.004951,            0.004951
                 104,            0.022423,            0.010295,                   0,             0.78554,                   1,             0.84188,             0.40395,             0.03361,           0.0082213,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,            0.023153,            0.010471,                   0,             0.78556,                   1,             0.84188,             0.38821,            0.032531,            0.008204,                   0,            0.004852,            0.004852,            0.004852
                 106,            0.021832,           0.0089586,                   0,             0.78565,                   1,             0.88571,             0.38461,            0.033948,           0.0082021,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,            0.025005,           0.0092129,                   0,             0.78555,                   1,             0.88571,             0.44969,            0.034193,           0.0081504,                   0,            0.004753,            0.004753,            0.004753
                 108,            0.023757,            0.010736,                   0,             0.78559,                   1,             0.90821,             0.39688,            0.033158,            0.008397,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,            0.024881,           0.0088109,                   0,             0.78566,                   1,             0.90821,             0.41892,            0.034487,           0.0084581,                   0,            0.004654,            0.004654,            0.004654
                 110,            0.022131,            0.008907,                   0,             0.78568,             0.99982,             0.90821,              0.4223,            0.033177,           0.0084184,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,            0.024314,           0.0084369,                   0,             0.78565,             0.99966,             0.93071,             0.41512,            0.035015,           0.0085275,                   0,            0.004555,            0.004555,            0.004555
                 112,            0.024261,            0.010785,                   0,             0.83222,             0.90909,               0.926,             0.45421,            0.033236,           0.0086299,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,            0.024846,           0.0090384,                   0,             0.83299,             0.90909,               0.926,             0.45308,            0.032844,           0.0085163,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.022489,           0.0098097,                   0,             0.83324,             0.90909,               0.931,             0.44768,            0.032669,           0.0084674,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,            0.022423,            0.010878,                   0,               0.833,             0.90909,               0.926,             0.45346,            0.032351,           0.0084264,                   0,            0.004357,            0.004357,            0.004357
                 116,            0.023841,            0.010072,                   0,             0.83328,             0.90877,               0.896,             0.42639,            0.032455,           0.0084755,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,            0.023439,            0.012473,                   0,             0.83322,             0.90844,               0.881,             0.44057,            0.032971,           0.0087232,                   0,            0.004258,            0.004258,            0.004258
                 118,            0.023397,           0.0091614,                   0,             0.83307,             0.90909,               0.881,             0.44491,             0.03224,           0.0087459,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,            0.021788,           0.0093431,                   0,             0.83179,             0.90909,             0.87688,             0.40264,            0.035947,           0.0088456,                   0,            0.004159,            0.004159,            0.004159
                 120,             0.02448,            0.010217,                   0,              0.7691,             0.90849,             0.87648,             0.43232,            0.034838,           0.0087565,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,            0.023561,            0.010963,                   0,             0.76922,             0.90903,             0.90974,             0.40862,             0.03474,           0.0086789,                   0,             0.00406,             0.00406,             0.00406
                 122,            0.022779,           0.0091053,                   0,             0.89956,             0.81818,             0.91911,             0.41863,            0.035399,           0.0088207,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,            0.023117,           0.0097631,                   0,             0.83309,             0.90762,             0.91587,              0.4166,            0.036726,             0.00882,                   0,            0.003961,            0.003961,            0.003961
                 124,            0.024357,            0.010343,                   0,             0.83329,             0.90909,             0.91587,             0.42364,            0.035436,            0.008676,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,            0.021722,           0.0094911,                   0,             0.78559,                   1,                0.89,             0.41483,            0.033881,           0.0090545,                   0,            0.003862,            0.003862,            0.003862
                 126,            0.021997,            0.008942,                   0,             0.78561,             0.99945,             0.87597,              0.4369,            0.032372,           0.0090704,                   0,           0.0038125,           0.0038125,           0.0038125
